,ampds_card,hour,callsign,count,proportion
578,25,9,CC70,1,0.1
579,25,9,CC71,2,0.2
580,25,9,CC72,1,0.1
581,25,9,H70,5,0.5
582,25,9,H71,1,0.1
583,25,10,CC70,1,0.125
584,25,10,CC72,3,0.375
585,25,10,H70,4,0.5
586,25,11,CC70,1,0.1429
587,25,11,CC72,3,0.4286
588,25,11,H70,2,0.2857
589,25,11,H71,1,0.1429
590,25,12,CC70,1,0.0909
591,25,12,CC71,1,0.0909
592,25,12,CC72,1,0.0909
593,25,12,H70,3,0.2727
594,25,12,H71,5,0.4545
595,25,13,CC70,3,0.3333
596,25,13,H70,4,0.4444
597,25,13,H71,2,0.2222
598,25,14,CC70,2,0.25
599,25,14,CC72,2,0.25
600,25,14,H70,3,0.375
601,25,14,H71,1,0.125
602,25,15,CC70,2,0.3333
603,25,15,CC72,1,0.1667
604,25,15,H71,3,0.5
605,25,16,CC70,1,0.125
606,25,16,CC72,1,0.125
607,25,16,H70,6,0.75
608,25,17,CC70,1,0.2
609,25,17,H70,3,0.6
610,25,17,H71,1,0.2
611,25,18,CC70,2,0.3333
612,25,18,H70,3,0.5
613,25,18,H71,1,0.1667
614,25,19,CC70,2,0.25
615,25,19,H70,6,0.75
616,25,20,CC70,2,0.5
617,25,20,H70,2,0.5
618,25,21,CC70,3,0.75
619,25,21,H70,1,0.25
620,25,22,CC70,2,0.2857
621,25,22,H70,5,0.7143
622,25,23,CC70,4,1.0
623,27,0,CC70,7,0.5
624,27,0,H70,7,0.5
625,27,1,CC70,13,0.8667
626,27,1,H70,2,0.1333
627,27,7,CC70,4,0.4444
628,27,7,H70,5,0.5556
629,27,8,CC70,2,0.3333
630,27,8,CC72,2,0.3333
631,27,8,H70,1,0.1667
632,27,8,H71,1,0.1667
633,27,9,CC70,2,0.2222
634,27,9,H70,5,0.5556
635,27,9,H71,2,0.2222
636,27,10,CC70,4,0.2667
637,27,10,CC72,1,0.0667
638,27,10,H70,8,0.5333
639,27,10,H71,2,0.1333
640,27,11,CC70,3,0.25
641,27,11,CC72,2,0.1667
642,27,11,H70,5,0.4167
643,27,11,H71,2,0.1667
644,27,12,CC70,2,0.1429
645,27,12,CC72,2,0.1429
646,27,12,H70,9,0.6429
647,27,12,H71,1,0.0714
648,27,13,CC70,4,0.16
649,27,13,CC71,2,0.08
650,27,13,CC72,2,0.08
651,27,13,H70,12,0.48
652,27,13,H71,5,0.2
653,27,14,CC70,2,0.1
654,27,14,CC72,1,0.05
655,27,14,H70,8,0.4
656,27,14,H71,9,0.45
657,27,15,CC70,2,0.1111
658,27,15,CC71,1,0.0556
659,27,15,CC72,2,0.1111
660,27,15,H70,9,0.5
661,27,15,H71,4,0.2222
662,27,16,CC70,1,0.0769
663,27,16,CC71,2,0.1538
664,27,16,CC72,1,0.0769
665,27,16,H70,6,0.4615
666,27,16,H71,3,0.2308
667,27,17,CC70,4,0.2105
668,27,17,CC72,2,0.1053
669,27,17,H70,11,0.5789
670,27,17,H71,2,0.1053
671,27,18,CC70,1,0.0476
672,27,18,CC72,1,0.0476
673,27,18,H70,16,0.7619
674,27,18,H71,3,0.1429
675,27,19,CC70,8,0.4444
676,27,19,CC72,1,0.0556
677,27,19,H70,9,0.5
678,27,20,CC70,9,0.4737
679,27,20,H70,9,0.4737
680,27,20,H71,1,0.0526
681,27,21,CC70,13,0.65
682,27,21,CC71,1,0.05
683,27,21,H70,6,0.3
684,27,22,CC70,10,0.4348
685,27,22,CC72,1,0.0435
686,27,22,H70,12,0.5217
687,27,23,CC70,9,0.3462
688,27,23,CC72,1,0.0385
689,27,23,H70,16,0.6154
690,28,0,H70,1,1.0
691,28,5,H71,1,1.0
692,28,6,H70,1,1.0
693,28,7,CC70,1,0.125
694,28,7,CC71,1,0.125
695,28,7,H70,2,0.25
696,28,7,H71,4,0.5
697,28,8,H70,6,0.8571
698,28,8,H71,1,0.1429
699,28,9,H70,4,0.4
700,28,9,H71,6,0.6
701,28,10,CC70,1,0.1111
702,28,10,CC72,1,0.1111
703,28,10,H70,3,0.3333
704,28,10,H71,4,0.4444
705,28,11,CC70,2,0.1538
706,28,11,CC72,1,0.0769
707,28,11,H70,8,0.6154
708,28,11,H71,2,0.1538
709,28,12,CC71,1,0.0833
710,28,12,H70,3,0.25
711,28,12,H71,8,0.6667
712,28,13,H70,6,0.4286
713,28,13,H71,8,0.5714
714,28,14,CC70,1,0.0714
715,28,14,CC71,1,0.0714
716,28,14,H70,7,0.5
717,28,14,H71,5,0.3571
718,28,15,CC72,1,0.1
719,28,15,H70,6,0.6
720,28,15,H71,3,0.3
721,28,16,H71,1,1.0
722,28,17,H70,3,0.75
723,28,17,H71,1,0.25
724,28,18,H70,8,1.0
725,28,19,H70,1,1.0
726,28,20,CC72,1,0.3333
727,28,20,H70,2,0.6667
728,28,22,CC70,1,0.5
729,28,22,H70,1,0.5
730,29,0,CC70,10,0.4762
731,29,0,H70,11,0.5238
732,29,1,CC70,3,0.5
733,29,1,H70,2,0.3333
734,29,1,H71,1,0.1667
735,29,5,CC70,2,0.4
736,29,5,H70,3,0.6
737,29,6,CC70,3,0.2308
738,29,6,CC71,1,0.0769
739,29,6,CC72,2,0.1538
740,29,6,H70,7,0.5385
741,29,7,CC70,14,0.35
742,29,7,CC71,2,0.05
743,29,7,CC72,3,0.075
744,29,7,H70,17,0.425
745,29,7,H71,4,0.1
746,29,8,CC70,10,0.1923
747,29,8,CC71,2,0.0385
748,29,8,CC72,7,0.1346
749,29,8,H70,28,0.5385
750,29,8,H71,5,0.0962
751,29,9,CC70,6,0.0845
752,29,9,CC71,4,0.0563
753,29,9,CC72,9,0.1268
754,29,9,H70,38,0.5352
755,29,9,H71,14,0.1972
756,29,10,CC70,9,0.1034
757,29,10,CC71,6,0.069
758,29,10,CC72,9,0.1034
759,29,10,H70,45,0.5172
760,29,10,H71,18,0.2069
761,29,11,CC70,12,0.1154
762,29,11,CC71,6,0.0577
763,29,11,CC72,9,0.0865
764,29,11,H70,53,0.5096
765,29,11,H71,24,0.2308
766,29,12,CC70,12,0.0889
767,29,12,CC71,6,0.0444
768,29,12,CC72,10,0.0741
769,29,12,H70,75,0.5556
770,29,12,H71,32,0.237
771,29,13,CC70,7,0.0761
772,29,13,CC71,4,0.0435
773,29,13,CC72,11,0.1196
774,29,13,H70,44,0.4783
775,29,13,H71,26,0.2826
776,29,14,CC70,8,0.058
777,29,14,CC71,4,0.029
778,29,14,CC72,15,0.1087
779,29,14,H70,77,0.558
780,29,14,H71,34,0.2464
781,29,15,CC70,9,0.0629
782,29,15,CC71,9,0.0629
783,29,15,CC72,19,0.1329
784,29,15,H70,72,0.5035
785,29,15,H71,34,0.2378
786,29,16,CC70,19,0.161
787,29,16,CC71,8,0.0678
788,29,16,CC72,6,0.0508
789,29,16,H70,54,0.4576
790,29,16,H71,31,0.2627
791,29,17,CC70,14,0.1556
792,29,17,CC71,4,0.0444
793,29,17,CC72,2,0.0222
794,29,17,H70,54,0.6
795,29,17,H71,16,0.1778
796,29,18,CC70,12,0.1765
797,29,18,CC71,2,0.0294
798,29,18,H70,45,0.6618
799,29,18,H71,9,0.1324
800,29,19,CC70,16,0.3019
801,29,19,H70,35,0.6604
802,29,19,H71,2,0.0377
803,29,20,CC70,15,0.3409
804,29,20,H70,28,0.6364
805,29,20,H71,1,0.0227
806,29,21,CC70,16,0.5714
807,29,21,H70,12,0.4286
808,29,22,CC70,15,0.4286
809,29,22,CC71,1,0.0286
810,29,22,CC72,2,0.0571
811,29,22,H70,16,0.4571
812,29,22,H71,1,0.0286
813,29,23,CC70,23,0.6216
814,29,23,H70,14,0.3784
815,30,0,CC70,3,0.5
816,30,0,H70,3,0.5
817,30,1,CC70,1,1.0
818,30,5,CC70,1,0.5
819,30,5,CC71,1,0.5
820,30,6,CC71,1,0.3333
821,30,6,H70,2,0.6667
822,30,7,CC70,2,0.1667
823,30,7,CC71,1,0.0833
824,30,7,CC72,3,0.25
825,30,7,H70,6,0.5
826,30,8,CC70,3,0.1304
827,30,8,CC72,2,0.087
828,30,8,H70,15,0.6522
829,30,8,H71,3,0.1304
830,30,9,CC70,5,0.0877
831,30,9,CC71,3,0.0526
832,30,9,CC72,5,0.0877
833,30,9,H70,27,0.4737
834,30,9,H71,17,0.2982
835,30,10,CC70,11,0.125
836,30,10,CC71,5,0.0568
837,30,10,CC72,9,0.1023
838,30,10,H70,41,0.4659
839,30,10,H71,22,0.25
840,30,11,CC70,4,0.0342
841,30,11,CC71,8,0.0684
842,30,11,CC72,3,0.0256
843,30,11,H70,57,0.4872
844,30,11,H71,45,0.3846
845,30,12,CC70,4,0.0364
846,30,12,CC71,10,0.0909
847,30,12,CC72,14,0.1273
848,30,12,H70,49,0.4455
849,30,12,H71,33,0.3
850,30,13,CC70,5,0.0625
851,30,13,CC71,4,0.05
852,30,13,CC72,13,0.1625
853,30,13,H70,41,0.5125
854,30,13,H71,17,0.2125
855,30,14,CC70,2,0.019
856,30,14,CC71,8,0.0762
